input,label,word_count
ad sales boost time warner profit,0.0,6.0
quarterly profits at us media giant timewarner jumped 76 to 1.13bn 600m for the three months to december from 639m year-earlier,1.0,21.0
the firm which is now one of the biggest investors in google benefited from sales of high-speed internet connections and higher advert sales,0.0,23.0
timewarner said fourth quarter sales rose to 11.1bn from 10.9bn,1.0,10.0
its profits were buoyed by one-off gains which offset profit dip at warner bros and less users for aol,1.0,19.0
time warner said on friday that it now owns of search-engine google,0.0,12.0
but its own internet business aol had has mixed fortunes,0.0,10.0
"it lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters",1.0,17.0
however the company said aol underlying profit before exceptional items rose on the back of stronger internet advertising revenues,1.0,19.0
it hopes to increase subscribers by offering the online service free to timewarner internet customers and will try to sign up aol existing customers for high-speed broadband,0.0,27.0
timewarner also has to restate 2000 and 2003 results following probe by the us securities exchange commission sec which is close to concluding,0.0,23.0
time warner fourth quarter profits were slightly better than analysts expectations,1.0,11.0
but its film division saw profits slump 27 to 284m helped by box-office flops alexander and catwoman sharp contrast to year-earlier when the third and final film in the lord of the rings trilogy boosted results,0.0,36.0
for the full-year timewarner posted profit of 3.36bn up 27 from its 2003 performance while revenues grew 6.4 to 42.09bn,1.0,20.0
our financial performance was strong meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility chairman and chief executive richard parsons said,0.0,25.0
for 2005 timewarner is projecting operating earnings growth of around and also expects higher revenue and wider profit margins,1.0,19.0
timewarner is to restate its accounts as part of efforts to resolve an inquiry into aol by us market regulators,0.0,20.0
it has already offered to pay 300m to settle charges in deal that is under review by the sec,0.0,19.0
the company said it was unable to estimate the amount it needed to set aside for legal reserves which it previously set at 500m,0.0,24.0
it intends to adjust the way it accounts for deal with german music publisher bertelsmann purchase of stake in aol europe which it had reported as advertising revenue,0.0,28.0
it will now book the sale of its stake in aol europe as loss on the value of that stake,0.0,20.0
the dollar has hit its highest level against the euro in almost three months after the federal reserve head said the us trade deficit is set to stabilise,1.0,28.0
and alan greenspan highlighted the us government willingness to curb spending and rising household savings as factors which may help to reduce it,0.0,23.0
in late trading in new york the dollar reached 1.2871 against the euro from 1.2974 on thursday,0.0,17.0
market concerns about the deficit has hit the greenback in recent months,1.0,12.0
on friday federal reserve chairman mr greenspan speech in london ahead of the meeting of g7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected us jobs data,0.0,35.0
think the chairman taking much more sanguine view on the current account deficit than he taken for some time said robert sinche head of currency strategy at bank of america in new york,1.0,33.0
he taking longer-term view laying out set of conditions under which the current account deficit can improve this year and next,1.0,21.0
worries about the deficit concerns about china do however remain,0.0,10.0
